Endpoint,HTTP Method,Status,Notes
/variables,GET,DONE,
/variables,POST,DONE,
/variables/:variableID,GET,DONE,
/variables/:variableID,PUT,ERROR,
/variables/:variableID,DELETE,DONE,
/variableTypes,GET,DONE,
/variableTypes,POST,DONE,
/variableTypes/:variableTypeID,GET,DONE,
/variableTypes/:variableTypeID,PUT,ERROR,
/variableTypes/:variableTypeID,DELETE,DONE,
/variableUnits,GET,DONE,
/variableUnits,POST,DONE,
/variableUnits/:variableUnitID,GET,DONE,
/variableUnits/:variableUnitID,PUT,ERROR,
/variableUnits/:variableUnitID,DELETE,DONE,
/variablePeriodTypes,GET,DONE,
/variablePeriodTypes,POST,DONE,
/variablePeriodTypes/:variablePeriodTypeID,GET,DONE,
/variablePeriodTypes/:variablePeriodTypeID,PUT,DONE,
/variablePeriodTypes/:variablePeriodTypeID,DELETE,DONE,
/averagingTypes,GET,DONE,
/averagingTypes,POST,DONE,
/averagingTypes/:averagingTypeID,GET,DONE,
/averagingTypes/:averagingTypeID,PUT,DONE,
/averagingTypes/:averagingTypeID,DELETE,DONE,
/sources,GET,DONE,
/sources,POST,DONE,
/sources/:sourceID,GET,DONE,
/sources/:sourceID,PUT,DONE,
/sources/:sourceID,DELETE,DONE,
/layers,GET,NOT TESTED,No data
/layers,POST,NOT IMPLEMENTED,No data
/layers/:layerID,GET,NOT TESTED,No data
/layers/:layerID,PUT,NOT IMPLEMENTED,No data
/layers/:layerID,DELETE,NOT TESTED,No data
/data,GET,NOT TESTED,No data
/data,POST,NOT TESTED,No data
